outputscale,omega,lml
-1.692500000000000338e+00,-6.000000000000000000e+00,-4.114625148432305298e+11
-1.669999999999999929e+00,-6.000000000000000000e+00,-4.110215541588271484e+11
-1.647499999999999964e+00,-6.000000000000000000e+00,-4.105610963155604248e+11
-1.625000000000000000e+00,-6.000000000000000000e+00,-4.100810180620979614e+11
-1.602500000000000036e+00,-6.000000000000000000e+00,-4.095810317251483154e+11
-1.580000000000000071e+00,-6.000000000000000000e+00,-4.090579740837219238e+11
-1.557500000000000107e+00,-6.000000000000000000e+00,-4.085136203897159424e+11
-1.535000000000000142e+00,-6.000000000000000000e+00,-4.079442769252011108e+11
-1.512500000000000178e+00,-6.000000000000000000e+00,-4.073542273831066284e+11
-1.490000000000000213e+00,-6.000000000000000000e+00,-4.067377766874176025e+11
-1.467500000000000249e+00,-6.000000000000000000e+00,-4.060956813421255493e+11
-1.445000000000000284e+00,-6.000000000000000000e+00,-4.054324144403875732e+11
-1.422500000000000320e+00,-6.000000000000000000e+00,-4.047393593052542725e+11
-1.400000000000000355e+00,-6.000000000000000000e+00,-4.040196832475589600e+11
-1.377499999999999947e+00,-6.000000000000000000e+00,-4.032716494993404541e+11
-1.354999999999999982e+00,-6.000000000000000000e+00,-4.024987744150103760e+11
-1.332500000000000018e+00,-6.000000000000000000e+00,-4.016950528435581055e+11
-1.310000000000000053e+00,-6.000000000000000000e+00,-4.008661416238572998e+11
-1.287500000000000089e+00,-6.000000000000000000e+00,-4.000076520327773438e+11
-1.265000000000000124e+00,-6.000000000000000000e+00,-3.991141170946192627e+11
-1.242500000000000160e+00,-6.000000000000000000e+00,-3.981941680723540649e+11
-1.220000000000000195e+00,-6.000000000000000000e+00,-3.972442056553401489e+11
-1.197500000000000231e+00,-6.000000000000000000e+00,-3.962627685427666016e+11
-1.175000000000000266e+00,-6.000000000000000000e+00,-3.952545577621098633e+11
-1.152500000000000302e+00,-6.000000000000000000e+00,-3.942161958906724243e+11
-1.130000000000000338e+00,-6.000000000000000000e+00,-3.931473166005686035e+11
-1.107499999999999929e+00,-6.000000000000000000e+00,-3.920453943690093384e+11
-1.084999999999999964e+00,-6.000000000000000000e+00,-3.909173180509324951e+11
-1.062500000000000000e+00,-6.000000000000000000e+00,-3.897554694844088135e+11
-1.040000000000000036e+00,-6.000000000000000000e+00,-3.885746968669251099e+11
-1.017500000000000071e+00,-6.000000000000000000e+00,-3.873563350853011475e+11
-9.950000000000001066e-01,-6.000000000000000000e+00,-3.861104401706970825e+11
-9.725000000000001421e-01,-6.000000000000000000e+00,-3.848448444452937012e+11
-9.500000000000001776e-01,-6.000000000000000000e+00,-3.835423573754340820e+11
-9.275000000000002132e-01,-6.000000000000000000e+00,-3.822215426630613403e+11
-9.050000000000002487e-01,-6.000000000000000000e+00,-3.808742699266720581e+11
-8.825000000000002842e-01,-6.000000000000000000e+00,-3.795057349010102539e+11
-8.600000000000003197e-01,-6.000000000000000000e+00,-3.781191814481863403e+11
-8.375000000000003553e-01,-6.000000000000000000e+00,-3.767173874459105225e+11
-8.150000000000003908e-01,-6.000000000000000000e+00,-3.752717459851494751e+11
-7.925000000000004263e-01,-6.000000000000000000e+00,-3.738461471687155151e+11
-7.700000000000004619e-01,-6.000000000000000000e+00,-3.723767423380681152e+11
-7.475000000000004974e-01,-6.000000000000000000e+00,-3.708966967979889526e+11
-7.250000000000005329e-01,-6.000000000000000000e+00,-3.694179592295351562e+11
-7.025000000000005684e-01,-6.000000000000000000e+00,-3.679307653497366943e+11
-6.799999999999997158e-01,-6.000000000000000000e+00,-3.664198380760463257e+11
-6.574999999999997513e-01,-6.000000000000000000e+00,-3.649128571182048340e+11
-6.349999999999997868e-01,-6.000000000000000000e+00,-3.633970466770354614e+11
-6.124999999999998224e-01,-6.000000000000000000e+00,-3.618839514855833740e+11
-5.899999999999998579e-01,-6.000000000000000000e+00,-3.603814610658021240e+11
-5.674999999999998934e-01,-6.000000000000000000e+00,-3.588579545819769897e+11
-5.449999999999999289e-01,-6.000000000000000000e+00,-3.573510299553795166e+11
-5.224999999999999645e-01,-6.000000000000000000e+00,-3.558624143703166504e+11
-5.000000000000000000e-01,-6.000000000000000000e+00,-3.543587971589852295e+11
-4.775000000000000355e-01,-6.000000000000000000e+00,-3.528851462939896240e+11
-4.550000000000000711e-01,-6.000000000000000000e+00,-3.514042778745701294e+11
-4.325000000000001066e-01,-6.000000000000000000e+00,-3.499366129218160400e+11
-4.100000000000001421e-01,-6.000000000000000000e+00,-3.485015762106642456e+11
-3.875000000000001776e-01,-6.000000000000000000e+00,-3.470745519178470459e+11
-3.650000000000002132e-01,-6.000000000000000000e+00,-3.456689437991192627e+11
-3.425000000000002487e-01,-6.000000000000000000e+00,-3.443020180522921753e+11
-3.200000000000002842e-01,-6.000000000000000000e+00,-3.429218560609918823e+11
-2.975000000000003197e-01,-6.000000000000000000e+00,-3.415653864330601196e+11
-2.750000000000003553e-01,-6.000000000000000000e+00,-3.402400503779248657e+11
-2.525000000000003908e-01,-6.000000000000000000e+00,-3.389566033351391602e+11
-2.300000000000004263e-01,-6.000000000000000000e+00,-3.377280075142077026e+11
-2.075000000000004619e-01,-6.000000000000000000e+00,-3.364542454874030762e+11
-1.850000000000004974e-01,-6.000000000000000000e+00,-3.352411666247518311e+11
-1.625000000000005329e-01,-6.000000000000000000e+00,-3.340857776933886719e+11
-1.400000000000005684e-01,-6.000000000000000000e+00,-3.329141238260090332e+11
-1.175000000000006040e-01,-6.000000000000000000e+00,-3.317855673479664307e+11
-9.499999999999975131e-02,-6.000000000000000000e+00,-3.307153167917301025e+11
-7.249999999999978684e-02,-6.000000000000000000e+00,-3.296564226458983154e+11
-4.999999999999982236e-02,-6.000000000000000000e+00,-3.285893862553686523e+11
-2.749999999999985789e-02,-6.000000000000000000e+00,-3.275969742080949097e+11
-4.999999999999893419e-03,-6.000000000000000000e+00,-3.266271471942301025e+11
