problem,Dx,N_over_Dx,noise,model,RRMSE_median,RRMSE_std,NIS_median,NIS_std
griewank,20,20,0.08,tabpfn_v2.5,0.23313067551165673,0.025711498138224827,1.1674108380183221,0.10315251945375326
griewank,20,5,0.002,tabpfn_v2.5,0.872305993398627,0.03689216141486631,4.2034705530897565,0.19243786332104892
griewank,20,5,0.08,tabpfn_v2.5,0.8746554388603632,0.035704141511572106,4.21983770161777,0.18931055770040012
rosenbrock,80,20,0.002,tabpfn_v2.5,0.3358464137308638,0.012347266391424474,1.681704243992714,0.023262319257834996
rosenbrock,80,20,0.08,tabpfn_v2.5,0.3469054876837503,0.0137575807209858,1.7243145937863997,0.027267545931776795
rosenbrock,80,5,0.002,tabpfn_v2.5,0.7670857177813437,0.022729977461618533,3.6212812690533127,0.1085816033313363
rosenbrock,80,5,0.08,tabpfn_v2.5,0.7716279102546936,0.021128828428981665,3.660854495820952,0.10009595034135033
wing,10,20,0.002,tabpfn_v2.5,0.023419441489673887,0.0033812500692676373,0.11709319257736622,0.0075976950487939305
wing,10,20,0.08,tabpfn_v2.5,0.09394380606492733,0.0021480965130980666,0.43109551297820137,0.007095979158940913
wing,10,5,0.002,tabpfn_v2.5,0.05838047597713397,0.009533787314733663,0.3279059329903756,0.04412829424807682
wing,10,5,0.08,tabpfn_v2.5,0.11891121284211276,0.010544323394474309,0.6176404104340043,0.043452231281999355
zakharov,20,20,0.002,tabpfn_v2.5,0.12156600081551996,0.06941753284185394,0.23687427688221285,0.02626874728210159
zakharov,20,20,0.08,tabpfn_v2.5,0.26023841322164454,0.12321569279707927,0.6340406169700497,0.03887719544722491
zakharov,20,5,0.002,tabpfn_v2.5,0.28782513003350485,0.16892345733092873,0.7692035344370869,0.1796723968622573
zakharov,20,5,0.08,tabpfn_v2.5,0.4258259207084475,0.13244422906168532,1.6181997113169078,0.17452426960971806
ackley,20,20,0.002,tabpfn_v2,0.3047404668262636,0.019315371103523608,1.5676295026400502,0.06775461416856779
ackley,20,20,0.08,tabpfn_v2,0.3126301786384773,0.019670283526839916,1.600182372323113,0.07787327575380969
ackley,20,5,0.002,tabpfn_v2,0.6218989104865793,0.014531982334131398,3.1991870712681543,0.0986558196705782
ackley,20,5,0.08,tabpfn_v2,0.6290575381255942,0.010637953623611019,3.2262137188485456,0.07847401984166044
ackley,40,20,0.002,tabpfn_v2,0.3830477768441227,0.014441994110346568,1.8672964576315207,0.04622275634105461
ackley,40,20,0.08,tabpfn_v2,0.40060655562691294,0.016524380540967422,1.9282107136831217,0.04571178631429906
ackley,40,5,0.002,tabpfn_v2,0.6183703995396359,0.016560286956997558,2.9900372975542746,0.08259778902030943
ackley,40,5,0.08,tabpfn_v2,0.6220157226327354,0.017023774046794955,3.004899551126465,0.08420382239012403
borehole,8,20,0.002,tabpfn_v2,0.024103511037502977,0.006892066601786062,0.09775267197400064,0.007006820970856316
borehole,8,20,0.08,tabpfn_v2,0.09049312978576321,0.0028151515332170106,0.43753571626029153,0.011647637330727469
